Title,URL of resource,Description,Year published,Resource Format (open data),Resource Format (tools and applications),Resource Format (case study),Resource type,Name of resource's point of contact,Organization of point of contact,Email of resource's point of contact,Social Inclusion Tags,Peace Processes,Safe Environments Tags,Civil Society Tags,State Institution Tags,Economic Foundations Tags
"Amending America: Proposed Amendments to the United States Constitution, 1787 to 2014",https://catalog.data.gov/dataset/amending-america-proposed-amendments-to-the-united-states-constitution-1787-to-2014,"This dataset provides information about more than 11,000 proposed Constitutional amendments introduced in the United States Congress from 1787 to 2014. This dataset is a compilation of information from several Congressional publications as well as a search for Constitutional amendments on the Congress.gov website.Data available for each proposed amendment varies by source publication. Each entry may include a source of information, title or description of amendment, date of introduction, Congress, Congressional session, joint resolution number, sponsor name, sponsor state or territory, and the committee of referral.The National Archives and Records Administration created this dataset as part of the Amending America initiative. To prepare for the 2016 ""Amending America"" exhibition at the National Archives Museum in Washington, D.C., NARA volunteers and staff transcribed and edited over 11,000 entries representing proposed amendments to the U.S. Constitution, as recorded by Congress.",2024,,,,Open Data,,National Archives and Records Administration,opendata@nara.gov,,,,Civic engagement initiatives,,
OneNYC 2050 (Historical),https://catalog.data.gov/dataset/onenyc-2050,"This dataset contains the indicators included in the OneNYC 2050 Strategic Plan that will be used to assess progress in achieving the eight overreaching goals of the plan: (1) Vibrant Democracy; (2) Inclusive Economy; (3) Thriving Neighborhoods; (4) Healthy Lives; (5) Equity and Excellence in Education; (6) Livable Climate; (7) Efficient Mobility; and (8) Modern Infrastructure. Each line of data provides the goal, the relevant sub-initiative, the indicator, the baseline year and value for the indicator and the goal. Data is collected by the Mayor’s Office of Operations from the relevant agency.",2023,,,,Open Data,,data.cityofnewyork.us,no-reply@data.cityofnewyork.us,,,,Civic engagement initiatives,,
Call Data,https://catalog.data.gov/dataset/call-data-eb3f1,"Some location data has a data quality issue and has temporarily removed while we resolve the issue.  WE will work on making it available as the highest priority.Please review this brief video for a better understanding of how these data are created:https://www.youtube.com/watch?v=lvTCjVHxpAUThis data represents police response activity. Each row is a record of a Call for Service (CfS) logged with the Seattle Police Department (SPD) Communications Center. Calls originated from the community and range from in progress or active emergencies to requests for problem solving. Additionally, officers will log calls from their observations of the field.Previous versions of this data set have withheld approximately 40% of calls. This updated process will release more than 95% of all calls but we will no longer provide latitude and longitude specific location data. In an effort to safeguard the privacy of our community, calls will only be located to the “beat” level. Beats are the most granular unit of management used for patrol deployment. To learn more about patrol deployment, please visit:https://www.seattle.gov/police/about-us/about-policing/precinct-and-patrol-boundaries.As with any data, certain conditions and qualifications apply:1)  These data are queried from the Data Analytics Platform (DAP), and updated incrementally on a daily basis. A full refresh will occur twice a year and is intended to reconcile minor changes.2)  This data set only contains records of police response. If a call is queued in the system but cleared before an officer can respond, it will not be included.3)  These data contain administrative call types. Use the “Initial” and “Final” call type to identify the calls you wish to include in your analysis.We invite you to engage these data, ask questions and explore.",2025,,,,Open Data,,data.seattle.gov,open.data@seattle.gov,,,,Civic engagement initiatives,,
The National Artificial Intelligence Research and Development Strategic Plan: 2019 Update,https://catalog.data.gov/dataset/the-national-artificial-intelligence-research-and-development-strategic-plan-2019-update,"Artificial intelligence (AI) holds tremendous promise to benefit nearly all aspects of society, including the economy, healthcare, security, the law, transportation, even technology itself. On February 11, 2019, the President signed Executive Order 13859, Maintaining American Leadership in Artificial Intelligence. This order launched the American AI Initiative, a concerted effort to promote and protect AI technology and innovation in the United States. The Initiative implements a whole-of-government strategy in collaboration and engagement with the private sector, academia, the public, and like-minded international partners. Among other actions, key directives in the Initiative call for Federal agencies to prioritize AI research and development (R&empD) investments, enhance access to high-quality cyberinfrastructure and data, ensure that the Nation leads in the development of technical standards for AI, and provide education and training opportunities to prepare the American workforce for the new era of AI. In support of the American AI Initiative, this National AI R&empD Strategic Plan: 2019 Update defines the priority areas for Federal investments in AI R&empD. This 2019 update builds upon the first National AI R&empD Strategic Plan released in 2016, accounting for new research, technical innovations, and other considerations that have emerged over the past three years. This update has been developed by leading AI researchers and research administrators from across the Federal Government, with input from the broader civil society, including from many of America’s leading academic research institutions, nonprofit organizations, and private sector technology companies. Feedback from these key stakeholders affirmed the continued relevance of each part of the 2016 Strategic Plan while also calling for greater attention to making AI trustworthy, to partnering with the private sector, and other imperatives.",2023,,,,Open Data,,NCO NITRD,nco@nitrd.gov,,,,Civic engagement initiatives,,
Allegheny County Conservatorship Filings,https://catalog.data.gov/dataset/allegheny-county-conservatorship-filings,"This data includes filings related to conservatorship petitions in Allegheny County. The conservatorship process, defined by PA’s 2008 Act 135, seeks to provide “a mechanism to transform abandoned and blighted buildings into productive reuse”, ideally creating “an opportunity for communities to modernize, revitalize and grow, and to improve the quality of life for neighbors who are already there”. Conservators petition to take possession of the building and oversee the “operation, management and improvement of the building in order to bring it into compliance with all municipal building and housing code requirements”. Conservators can be can be lienholders, non-profit groups, or residents/business owners who are in the proximity of the property in question. More information can be found on the Pennsylvania General Assembly website:https://www.legis.state.pa.us/cfdocs/legis/li/uconsCheck.cfm?yr=2008&sessInd=0&act=135Conservatorship data in the court system is maintained by the Allegheny County Department of Court Records. Data included here is from the general docket. Several different types of legal filings may occur on a property involved in the conservatorship process. At this time, only the most recent filing in a case is included in the data found here. (All of the fields except thelast_activityfield are expected to be set at the initial filing of the case. Thelast_activityfield is the only one we expect to update on a regular basis; it represents the date of the most recent activity on the case.)To view the detailed conservatorship filings for each property represented in this dataset, please visit the Department of Court Records Civil/Family DivisionWebsite Search Page, and enter the Case ID for a docket. This will provide detailed information about each conservatorship case by docket , including litigants, attorneys, non-litigants,  docket entries, events, copies of documents, property information (included in the docket report) and services.",2023,,,,Open Data,,Allegheny County,webmaster.civil@alleghenycounty.us,,,,Civic engagement initiatives,,
Ada County 4-H Clubs & Programs,https://catalog.data.gov/dataset/ada-county-4-h-clubs-programs,"Every year, Ada County 4-H, UI Extension engages thousands of Idaho youth in hands-on learning activities in the areas of STEM, Healthy Living and Civic Engagement. From rabbits to robotics and archery to photography, there really is a 4-H activity for everyone. This map showcases the general locations of 4-H Clubs and Programs throughout Ada County by topic area. Pinpoints of 4-H clubs are not specific. If you'd like to join Ada County 4-H or become a 4-H volunteer, please contact the Ada County University of Idaho Extension office at (208) 287-5900 or visit our main website at uidaho.edu/ada.",2020,,,,Open Data,,University of Idaho,,,,,Civic engagement initiatives,,
Population and Languages of the Limited English Proficient (LEP) Speakers by Community District,https://catalog.data.gov/dataset/population-and-languages-of-the-limited-english-proficient-lep-speakers-by-community-distr,"Many residents of New York City speak more than one language; a number of them speak and understand non-English languages more fluently than English. This dataset, derived from the Census Bureau's American Community Survey (ACS), includes information on over 1.7 million limited English proficient (LEP) residents and a subset of that population called limited English proficient citizens of voting age (CVALEP) at the Community District level. There are 59 community districts throughout NYC, with each district being represented by a Community Board.",2024,,,,Open Data,,data.cityofnewyork.us,no-reply@data.cityofnewyork.us,,,,Civic engagement initiatives,,
Full resolution and low resolution real-time physical trajectory profile data from gliders submitted to NCEI by the IOOS National Glider Data Assembly Center (NGDAC) from 2009-05-17 to present,https://catalog.data.gov/dataset/full-resolution-and-low-resolution-real-time-physical-trajectory-profile-data-from-gliders-subm,"This collection includes full resolution and low resolution real-time physical trajectory profile data from gliders deployed by various institutions in seas world-wide from 2009-05-17 to present.The National Centers for Environmental Information (NCEI) received the data in this archival collection from the Integrated Ocean Observing System (IOOS) National Glider Data Assembly Center (NGDAC). The IOOS NGDAC received the data in the collected datasets in one or more netCDF files comprising an entire glider deployment. The data are measurements of physical oceanographic properties including  temperature, salinity, conductivity, and density. The IOOS NGDAC checked the files for compliance to their netCDF file convention, aggregated the files into a single netCDF file, and then submitted the file to NCEI for long-term preservation.",2025,,,,Open Data,,(Point of Contact),ncei.info@noaa.gov,,,,Civic engagement initiatives,,
2017-2023 CEV Findings: State-Level Rates of All Measures from the Current Population Survey Civic Engagement and Volunteering Supplement,https://catalog.data.gov/dataset/2017-2021-cev-findings-state-level-rates-of-all-measures-from-the-current-population-surve,"The Current Population Survey Civic Engagement and Volunteering (CEV) Supplement is the most robust longitudinal survey about volunteerism and other forms of civic engagement in the United States. Produced by AmeriCorps in partnership with the U.S. Census Bureau, the CEV takes the pulse of our nation’s civic health every two years. The CEV can support evidence-based decision making and efforts to understand how people make a difference in communities across the country.The findings on this page are based on data collected in September of 2017, 2019, 2021, and 2023. All figures are weighted to account for the random selection of eligible respondents and missing data due to nonresponse. They reflect state-level rates of 17 measures of civic engagement. Please see column descriptions for details.A spreadsheet with all of these figures is provided as an attachment along with additional resources about the CEV data. Click on ""Show More"" to view and download.To explore CEV findings in an interactive dashboard, please seehttps://data.americorps.gov/stories/s/AmeriCorps-Civic-Engagement-and-Volunteering-CEV-D/62w6-z7xaFor the full CEV datasets, please seehttps://data.americorps.gov/browse?q=cev&sortBy=last_modified&utf8=%E2%9C%93",2025,,,,Open Data,,AmeriCorps Office of Research and Evaluation,AmeriCorpsCEV@americorps.gov,,,,Civic engagement initiatives,,
Early Grade Reading Activity Malawi,https://catalog.data.gov/dataset/early-grade-reading-activity-malawi,"The Malawi Early Grade Reading Activity (MEGRA) is a multifaceted educational development approach intended to enable sustained literacy among children, promote a literate community, and help the country increase economic growth and reduce poverty. The USAID/Malawi funded program was implemented starting August of 2013, by RTI (Research Triangle Institute) International. The MEGRA educational program was implemented alongside a Feed the Future project called Integrating Nutrition in Value Chains (INVC) and a Global Health Initiative project called Support for Service Delivery Integration (SSDI), both of which were also expected to affect the success of learners in school. Through this interconnected strategy, USAID/Malawi aimed to have a greater impact on outcomes of interest (such as learning reading scores) than would otherwise be possible through one project alone. The key elements of the MEGRA reading intervention involved:•   Conduct teacher training, including practicums
•   Provide scripted lesson plans to teachers
•   Provide in-service teacher support and mentoring (or coaching)
•   Provide rewards for high-performing teachers and schools
•   Develop and distribute books, story cards, letter cards, and bookshelves
•   Organize reading fairs and other events to engage parents, caregivers, and the community in learner learning
•   Invite parents to participate in their learners’ classrooms and/or become engaged in extracurricular activities
•   Ensure a supportive policy environment by attending the Basic Education Technical Working Group and writing Memorandums of Understanding (MOUs) to gain necessary Ministry of Education, Science, and Technology(MoEST) support and buy-in
•   Facilitate the extension of school instructional timeIn order to test possible complementary or multiplier effects of the MEGRA reading intervention and the INVC and SSDI activities, all three interventions were implemented in and evaluated for four distinct treatment levels:
•   Treatment Level 1: Three focus districts (Balaka, Machinga, and Lilongwe Rural) that provide an opportunity to evaluate the impact of a fully-integrated development approach with multiple activities across sectors, including MEGRA, INVC, and SSDI, on early grade reading outcomes.
•   Treatment Level 2: The district (Salima) where MEGRA overlaps with only the SSDI intervention. This serves as a test ground for the hypothesis that synergies between education and health initiatives catalyze changes that are greater than the sum of their parts.
•   Treatment Level 3: The district (Ntcheu) where MEGRA overlaps with only the INVC intervention. This serves as a test ground for the development hypothesis that synergies between education and agricultural livelihood and nutrition initiatives catalyze changes that are greater than the sum of their parts.
•   Treatment Level 4: Five districts (Blantyre Rural, Mzimba North, Ntchisi, Thyolo, and Zomba Rural) that only receive the MEGRA initiative. These districts are used to test the MEGRA theory of change that education support leads to improved literacy and general education outcomes.MEGRA was implemented at the zonal level, at baseline in 2013, where zones were randomly selected in each of the four levels to implement the MEGRA intervention (taking into account areas where INVC and SSDI were already working). However, since INVC and SSDI were not randomly assigned at baseline, the evaluation can only be able to determine whether EGRA is better than no EGRA and whether EGRA plus INVC and SSDI is better than no treatment.While MEGRA expected to include both treatment and comparison schools in each district at each level, at baseline, it was unable to because the SSDI and INVC activities were already underway. As such, the program found that in the Level 2 district, Salima, it was impossible to select comparison zones that were not already contaminated with the SSDI intervention because SSDI was already working across the entire di",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,,Civic engagement initiatives,,
Local Organizations Movement Towards Self-Reliance Endline Survey in Cambodia 2022,https://catalog.data.gov/dataset/local-organizations-movement-towards-self-reliance-endline-survey-in-cambodia-2022,The Local Organizations Movement Towards Self-Reliance (LO-MTSR) activity aims to increase the organizational resiliency of Cambodian civil society organizations (CSOs). This data asset is an endline survey of participating organizations and includes general organizational and budgetary information.,2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,,Civic society capacity building,,
International Development Innovation Network (IDIN),https://catalog.data.gov/dataset/international-development-innovation-network-idin,"From 2012-2017, the International Development Innovation Network (IDIN) was a program led by the Massachusetts Institute of Technology’s D-Lab; implemented by a global consortium of academic, institutional, and innovation center partners; and supported by USAID’s Higher Education Solutions Network in the U.S. Global Development Lab. Today, IDIN Network members and partners continue to support innovators and entrepreneurs around the globe to design, develop, and disseminate technologies to improve the lives of people living in poverty.The IDIN Network is made up of more than 1,000 dynamic innovators from around the world who all share a common experience: attending an International Development Design Summit to create technologies with communities in developing countries.After a design summit, Network members pursued innovative projects, some from a summit and some of their own creation. With access to funding, training, mentorship, and workshop space, these innovators’ prototypes became products designed to make a difference.What We Do
The IDIN program supported local innovation to create impact in five ways:Design Summits – Hands-on design experiences co-creating low-cost, practical technologies for people living in povertyIDIN Network Resources – Funding, training, and educational opportunities to support our 1,000+ Network members around the worldInnovation Centers – Maker spaces connecting innovators to resources and training to develop technologies that make a social impactResearch – A team generating new knowledge on local innovation and the role it plays in sustainable and community developmentStudent Participation – Classes, projects, research, field visits, and technology development to train the next generation of innovators",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,,Civic society capacity building,,
"Local Landscape Analysis of Monitoring, Evaluation, and Learning Capacity in Senegal",https://catalog.data.gov/dataset/local-landscape-analysis-of-monitoring-evaluation-and-learning-capacity-in-senegal,"The Local Landscape Analysis (LLA) of Monitoring, Evaluation, and Learning (MEL) is the first phase of a multi-stage assessment and capacity-building approach intended to increase the participation of local MEL organizations in development in Senegal. The initial data collection used a mixed-methods approach to provide the United States Agency for International Development (USAID) with an analysis of the MEL ecosystem in Senegal, including the overall characteristics, competencies, experiences, and capacity-building needs of MEL service providers and organizations providing MEL training as well as perceptions and practices of MEL clients. The MEL LLA is a mapping of local MEL firms that, when combined with future verification of organization-specific institutional capacity and technical capacity in Phase II, is intended to inform a roadmap for USAID to increase its engagement with these MEL firms. The report describes the characteristics and market segmentation of MEL service providers and training centers providing MEL courses, the challenges they face, their strengths, and their perspectives on donor funding, donor requirements, and USAID requirements. The report includes recommendations for USAID to develop a strategy for local MEL partners to successfully compete for a larger share of USAID resources.",2025,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,,Civic society capacity building,,
International Development Innovation Network (IDIN) Program Impact Data 2014-2017,https://catalog.data.gov/dataset/international-development-innovation-network-idin-program-impact-data-2014-2017,"This document includes data from International Development Innovation Network (IDIN) program monitoring and evaluation surveys from 2014-2017. IDIN was a program led by the Massachusetts Institute of Technology’s D-Lab, implemented by a global consortium of academic, institutional, and innovation center partners, and supported by USAID’s Higher Education Solutions Network in the U.S. Global Development Lab. Together with IDIN Network members and partners the D-Lab team worked to support innovators and entrepreneurs around the globe to design, develop, and disseminate technologies to improve the lives of people living in poverty. The program consisted of five components: design workshops and summits, innovation project funding, local innovation centers, research, and MIT student engagement.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,,Civic society capacity building,,
Laboratory Data From Ghana Water Testing for E-coli,https://catalog.data.gov/dataset/laboratory-data-from-ghana-water-testing-for-e-coli,"There is no dataset uploaded. Data is from a non-EPA source. This dataset is not publicly accessible because: Data is with Lakhdar Boukerrou of the Florida International University, FIU and the Ghana Water Company Limited. It can be accessed through the following means: Email :Lakhdar Boukerrou  and mark ayertey . Format: Detection rate for e-coli performed @the Ghana lab",2021,,,,Open Data,,U.S. EPA Office of Research and Development (ORD),enriquez.julius@epa.gov,,,,Civic society capacity building,,
